country,GDP,GDP per capita
Philippines,394087362017.318,3460.53940077621
Poland,679441900610.663,17999.8322682985
Portugal,253982847571.015,24598.4727937544
Puerto Rico,106368900000.0,32601.5656391821
Qatar,179677131707.294,66838.3276414802
Romania,285404683024.537,14927.1168555732
Russian Federation,1836892075547.52,12593.1572265625
Rwanda,11055281971.0454,821.228194072436
Samoa,843850777.823854,3857.35668493835
San Marino,1855382833.14678,54982.4517157142
Sao Tome and Principe,526653790.670814,2360.54355385897
Saudi Arabia,868585871464.541,24160.6760455307
Senegal,27569136728.2565,1633.56011880605
Serbia,63082021205.9295,9230.17444674566
Seychelles,1286687873.18447,12963.0646717088
Sierra Leone,4249234573.98708,504.621272179526
Singapore,423796995372.726,77710.0699565617
Sint Maarten (Dutch part),1384636871.50838,32316.5959834846
Slovak Republic,118656591909.266,21782.8550659196
Slovenia,61748586534.8672,29291.4006234431
Solomon Islands,1580303517.17092,2232.53695646531
Somalia,7628000011.46357,446.98155963536
South Africa,419015636064.711,7055.05517621298
Spain,1427380681294.55,30103.513733191
Sri Lanka,88496535599.3564,3994.2469579056
St. Kitts and Nevis,860844444.444444,18082.6879898426
St. Lucia,1691259259.25926,9414.13774072652
St. Vincent and the Grenadines,872226063.705504,8360.10105917172
Sudan,34229513774.9936,749.706787109375
Suriname,2984706243.65482,4869.13422621242
Sweden,636856236396.239,61143.2212428047
Switzerland,800640155387.26,91991.6004583563
Tajikistan,8937805347.13963,916.691967061922
Tanzania,70655628140.5826,1146.03198242188
Thailand,505568057004.254,7060.89760941608
Timor-Leste,3621222400.0,2741.39394462437
Togo,8334047485.51396,964.050010186895
Tonga,469228124.153914,4425.9705910742
Trinidad and Tobago,24460196270.1157,16032.502767725
Tunisia,46687298709.3541,3807.18456310206
Turkiye,819034484303.169,9661.22773420424
Turks and Caicos Islands,1044778790.0,23158.6378951102
Tuvalu,60196366.8066821,5372.75676603732
Uganda,40510241365.9029,883.465728078128
Ukraine,199765856764.501,4827.845703125
United Arab Emirates,415021590687.543,44315.554183896
United Kingdom,3122480345924.54,46585.8975644567
United States,23315080560000.0,70219.472454115
Uruguay,61412268248.9461,17923.9953327961
Uzbekistan,69600614988.6039,1993.42447790795
Vanuatu,971636097.850666,3044.57364031957
Vietnam,366137590717.804,3756.48912237473
West Bank and Gaza,18109000000.0,3678.63565662194
Zambia,22147649568.6121,1137.34439483196
Zimbabwe,28371238665.5116,1773.92041088078
